,ss_username,cf_username,cf_rating,cc_username,cc_rating
8305,mgumber909,mgumber909,1202.2,mgumber909,1485
8306,siddharth201820,sid_dharth_11,1202.2,sid_dharth_11,1485
8307,Tonmoy_B,tonmoy_b,821,tonmoy_b,1484
8308,deepakrajput983,deepakrajput983,905,deepak983,1484
8309,lakshay0501,lakshay.arora,1087,lakshay0501,1484
8310,TheLoneWolf,coding_duck,1170,coding_duck,1484
8311,onemanarmy111,deepak.kumar.mat14,1393,onemanarmy111,1484
8312,barnwal_1503,barnwal_1503,1423,barnwal_1503,1484
8313,ayush_45,ayush_45,1201.4,ayushkumar_21,1484
8314,ramini1996,ramini1996,1201.4,ramini,1484
8315,durgeshwari_22,durgeshwari,1201.4,durgeshwari22,1484
8316,nehil_82,nehil_82,1201.4,inducer82,1484
8317,_aman_kothari,_aman_kothari,483,aman_kothari,1483
8318,hemanntth__5,hemanntth__5,805,hemanntth__5,1483
8319,dead_vaap,dead_vaap,879,coder1602,1483
8320,karan650,karan650g,1001,karan650,1483
8321,MazharulIslamRiaz,riazahmed,1049,mazharulislam,1483
8322,hanzala,hanzala,1069,han_so,1483
8323,Suhaib,suhaib998,1171,suhaib395,1483
8324,z4pp3rZ,sat7978,1304,mib7978,1483
8325,lafifi,lafifi,1563,fiorella2709,1483
8326,mytheus,mytheus,1200.6,nikith_ganga,1483
8327,__RaiyaN__,__raiyan__,1200.6,raiyan_98,1483
8328,kripajha007,kripashankarjha7,1200.6,kripa_jha007,1483
8329,himank_kalal,himank.kalal,1200.6,himankkalal,1483
8330,tripathi152335,tripathi152335,1200.6,tripathi_27917,1483
8331,F_A_R_Akil,f_a_r_akil,1200.6,akil080,1483
8332,vivekhirpara8,,1200.6,vivekhirpara8,1483
8333,cj_1412,cj_1412,1013,cj_1412,1482
8334,Mizan,sleeporsmile,1174,mizan2,1482
8335,RishabhShukla,mysterrishu,1252,myster,1482
8336,Batman_Beyond_936,batman_beyond_2802,1199.7,sugstar123,1482
8337,perezjehan,abkshanu,1199.7,abkshanu,1482
8338,Coder_15,manvi.neekhra,1199.7,manvi_15413,1482
8339,dkumarsw7,rockd07,1199.7,dkumarsw7,1482
8340,rajethanm4,rajethanm4,1199.7,vardhan4257,1482
8341,kavya_anjali,rangaseelikavyanjali,1199.7,kavya96520,1482
8342,parmarrinila2002,parmarrinila2002,364,parmarrinl2002,1481
8343,shalini26,shalini26,848,shalini264,1481
8344,kss21,kartiks2503,984,kartiks25,1481
8345,subhamkp,subhamkp28,1007,subhamkp28,1481
8346,harshita,harshita.nit,1181,harshita791,1481
8347,AK_7621,ak_7621,1227,ak1491702,1481
8348,pacemaker_yousuf,pacemaker_yousuf,1304,manikyousuf,1481
8349,akhileshsirohi,akhileshsirohi,1312,asirohi,1481
8350,NakshatraSachan,sachan_nakshatra,1321,nakshtrasachan,1481
8351,nurseyit,Nurseyit_00,1661,nurseyit,1481
8352,hitesh_ahuja,hitesh_ahuja,1198.9,hahuja1199,1481
8353,yota_pankaj,yota_pankaj,1198.9,pankaj_2000,1481
8354,perpetualVJ,perpetualvj,1198.9,perpetualvj,1481
8355,PRADEEP_RAJ_SAVARAPU,,1198.9,sl4297,1481
8356,nikhil_175,nikhil_175,862,nikhil_175,1480
8357,irham093,irhamul_islam_pranjal,865,irham093,1480
8358,tushar__01,co_destructor,938,sainitushar01,1480
